Province,District Code,District Name Thai,District Name English,Subdistrict Thai,Subdistrict English,Latitude,Longitude
ขอนแก่น,4001,อำเภอเมืองขอนแก่น,Amphoe Mueang Khon Kaen,เมืองขอนแก่น,Mueang Khon Kaen,16.439625,102.828728
ขอนแก่น,4002,อำเภอบ้านฝาง,Amphoe Ban Fang,บ้านฝาง,Ban Fang,16.4500,102.6333
ขอนแก่น,4003,อำเภอพระยืน,Amphoe Phra Yuen,พระยืน,Phra Yuen,16.3000,102.6667
ขอนแก่น,4004,อำเภอหนองเรือ,Amphoe Nong Ruea,หนองเรือ,Nong Ruea,16.5167,102.4333
ขอนแก่น,4005,อำเภอชุมแพ,Amphoe Chum Phae,ชุมแพ,Chum Phae,16.5333,102.1000
ขอนแก่น,4006,อำเภอสีชมพู,Amphoe Si Chomphu,สีชมพู,Si Chomphu,16.7167,102.1667
ขอนแก่น,4007,อำเภอน้ำพอง,Amphoe Nam Phong,น้ำพอง,Nam Phong,16.7000,102.8333
ขอนแก่น,4008,อำเภออุบลรัตน์,Amphoe Ubolratana,อุบลรัตน์,Ubolratana,16.7500,102.6167
ขอนแก่น,4009,อำเภอกระนวน,Amphoe Kranuan,กระนวน,Kranuan,16.7000,103.0667
ขอนแก่น,4010,อำเภอบ้านไผ่,Amphoe Ban Phai,บ้านไผ่,Ban Phai,16.0591,102.7292
ขอนแก่น,4011,อำเภอเปือยน้อย,Amphoe Pueai Noi,เปือยน้อย,Pueai Noi,15.8667,102.9167
ขอนแก่น,4012,อำเภอพล,Amphoe Phon,พล,Phon,15.9833,102.6000
ขอนแก่น,4013,อำเภอแวงใหญ่,Amphoe Waeng Yai,แวงใหญ่,Waeng Yai,15.9500,102.5333
ขอนแก่น,4014,อำเภอแวงน้อย,Amphoe Waeng Noi,แวงน้อย,Waeng Noi,15.8167,102.4167
ขอนแก่น,4015,อำเภอหนองสองห้อง,Amphoe Nong Song Hong,หนองสองห้อง,Nong Song Hong,15.7333,102.7833
ขอนแก่น,4016,อำเภอภูเวียง,Amphoe Phu Wiang,ภูเวียง,Phu Wiang,16.6667,102.3667
ขอนแก่น,4017,อำเภอมัญจาคีรี,Amphoe Mancha Khiri,มัญจาคีรี,Mancha Khiri,16.2167,102.5333
ขอนแก่น,4018,อำเภอชนบท,Amphoe Chonnabot,ชนบท,Chonnabot,16.0833,102.6000
ขอนแก่น,4019,อำเภอเขาสวนกวาง,Amphoe Khao Suan Kwang,เขาสวนกวาง,Khao Suan Kwang,16.9167,102.7833
ขอนแก่น,4020,อำเภอภูผาม่าน,Amphoe Phu Pha Man,ภูผาม่าน,Phu Pha Man,16.6333,101.8833
ขอนแก่น,4021,อำเภอซำสูง,Amphoe Sam Sung,ซำสูง,Sam Sung,16.5667,103.0667
ขอนแก่น,4022,อำเภอโคกโพธิ์ไชย,Amphoe Khok Pho Chai,โคกโพธิ์ไชย,Khok Pho Chai,16.0833,102.4167
ขอนแก่น,4023,อำเภอหนองนาคำ,Amphoe Nong Na Kham,หนองนาคำ,Nong Na Kham,16.8167,102.3167
ขอนแก่น,4024,อำเภอบ้านแฮด,Amphoe Ban Haet,บ้านแฮด,Ban Haet,16.2000,102.7500
ขอนแก่น,4025,อำเภอโนนศิลา,Amphoe Non Sila,โนนศิลา,Non Sila,15.9667,102.6667
ขอนแก่น,4029,อำเภอเวียงเก่า,Amphoe Wiang Kao,เวียงเก่า,Wiang Kao,16.6833,102.3167
